"No.","Time","Source","Destination","Protocol","Length","Info"
"47080","1286.472751723","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4007:80a::200a","QUIC","95","Protected Payload (KP0), DCID=dc8a55243179b213"
"47081","1286.668612010","2606:4700:9c61:a18:c63b:48e:72a1:ef17","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.3","125","Application Data"
"47082","1286.668612294","2606:4700:9c61:a18:c63b:48e:72a1:ef17","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  51032 [FIN, ACK] Seq=7391 Ack=2458 Win=65536 Len=0 TSval=2219741435 TSecr=4164428340"
"47083","1286.668644066","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2606:4700:9c61:a18:c63b:48e:72a1:ef17","TCP","86","51032  >  443 [ACK] Seq=2458 Ack=7391 Win=64256 Len=0 TSval=4164828332 TSecr=2219741435"
"47084","1286.668891412","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2606:4700:9c61:a18:c63b:48e:72a1:ef17","TCP","86","51032  >  443 [FIN, ACK] Seq=2458 Ack=7392 Win=64256 Len=0 TSval=4164828332 TSecr=2219741435"
"47085","1286.705215209","2606:4700:9c61:a18:c63b:48e:72a1:ef17","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  51032 [ACK] Seq=7392 Ack=2459 Win=57344 Len=0 TSval=2219741507 TSecr=4164828332"
"47086","1287.055603164","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:b05::","TLSv1.3","129","Application Data"
"47087","1287.135905579","2600:1901:1:b05::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  60588 [ACK] Seq=2219 Ack=2479 Win=68608 Len=0 TSval=3980480383 TSecr=2958272491"
"47088","1287.211008519","2600:1901:1:b05::","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.3","126","Application Data"
"47089","1287.211066337","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2600:1901:1:b05::","TCP","86","60588  >  443 [ACK] Seq=2479 Ack=2259 Win=64256 Len=0 TSval=2958272646 TSecr=3980480455"
"47090","1288.118493925","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","2404:6800:4002:80b::2001","TCP","86","[TCP Keep-Alive] 42118  >  443 [ACK] Seq=1197 Ack=9079 Win=64256 Len=0 TSval=3073427495 TSecr=1318909560"
